epoch,lr,train_loss,val_loss,train_auroc,val_auroc,val_auprc,segundos
1,9.874639560909117e-05,0.5959592713286493,0.5188927571538469,0.7531215886861702,0.8317050004590169,0.8079774338222103,96.6
2,9.504844339512095e-05,0.44866886948129003,0.4860722876770396,0.874212296624723,0.8666273559922886,0.8539789191752996,71.3
3,8.90915741234015e-05,0.3612673330380795,0.4532076905730745,0.9215414639151329,0.8802954656196375,0.8628144690040362,71.9
4,8.117449009293668e-05,0.28552091068381946,0.4970024580686865,0.9518109082988383,0.8804243434293503,0.8701242307539626,71.3
5,7.169418695587791e-05,0.2112818096535078,0.5185743345341213,0.9744588783726278,0.8780250976293544,0.8631648610747151,71.3
6,6.112604669781572e-05,0.16783522561376985,0.5690245109334798,0.9839463255787355,0.8855388504805554,0.8707536105350518,70.6
7,5e-05,0.12008005819261648,0.5423622068385003,0.9921514551855336,0.8885330527445676,0.8794905817615587,70.4
8,3.887395330218429e-05,0.10191550589021824,0.577953239058105,0.9934725639960372,0.8872548673441285,0.874364134916266,69.5
9,2.8305813044122104e-05,0.06821880203145242,0.5886786297593318,0.9977362332199102,0.8890256131405934,0.8744165329676558,69.1
10,1.882550990706333e-05,0.05216613883073179,0.5780804357898067,0.9988091413539121,0.8948056946337397,0.881753165323645,70.2
11,1.090842587659853e-05,0.042673369321300864,0.6033345903309298,0.9991973688415535,0.8930490724328599,0.8811462256470602,70.9
12,4.951556604879049e-06,0.03625567594320197,0.5977885475460912,0.9992659104938532,0.8944826173847339,0.8846214600160875,71.4
13,1.2536043909088136e-06,0.04055282046718643,0.5911483232404144,0.9992073557387444,0.8963451665525008,0.8858323385761088,72.1
14,0.0,0.03475176742136417,0.5790973310739221,0.9994644920601014,0.8968642086902484,0.8869777283231497,70.9
