epoch,lr,train_loss,val_loss,train_auroc,val_auroc,val_auprc,segundos
1,9.829629131445342e-05,0.5418554521220876,0.4951696757315263,0.7694131949836932,0.8282780238288316,0.7824605148953675,20.0
2,9.330127018922195e-05,0.407482389015876,0.46158904301440434,0.8844172231712999,0.8657405963445823,0.8398041249345858,18.3
3,8.535533905932738e-05,0.2938997417315063,0.46775891717849755,0.9439040903090542,0.8679823467032626,0.8330458425924506,17.9
4,7.500000000000001e-05,0.21999229284401312,0.5135731704543463,0.9691654371796863,0.87116368286445,0.8308170821537607,17.9
5,6.294095225512605e-05,0.1697827252502979,0.5567684716574838,0.9825069886628358,0.8838539392427173,0.8484420861304952,17.8
6,5.000000000000001e-05,0.11167799642020493,0.5443420944028172,0.9931552356732413,0.8845401097872873,0.8472964816499381,18.0
7,3.705904774487398e-05,0.07498040904207369,0.5769923541575712,0.9971484799658331,0.8869495040858337,0.8520655532967683,18.3
8,2.5000000000000018e-05,0.05771866149386351,0.5646688360332283,0.998729907594347,0.8867077849167239,0.8403956936609459,18.1
9,1.4644660940672632e-05,0.044093266088015184,0.5907133177689617,0.9991683976549154,0.8923842866945293,0.8584602090434358,18.0
10,6.698729810778067e-06,0.03790260292719285,0.582690457972764,0.9994525547445255,0.8935967812363546,0.8602205054045222,18.1
11,1.7037086855465907e-06,0.03913973738998693,0.5643435674350351,0.9993724763161982,0.8913628282702264,0.8573662411457282,18.1
12,0.0,0.03023411285082914,0.5648468731175875,0.9997486022674329,0.8927195745742622,0.8580000568124031,18.1
