epoch,lr,train_loss,val_loss,train_auroc,val_auroc,val_auprc,segundos
1,9.829629131445342e-05,0.5587166158914069,0.5003270915552704,0.7553582175027178,0.8200985590418564,0.7778957954017454,23.9
2,9.330127018922195e-05,0.4042466166704665,0.4625757151750928,0.8874269587668893,0.8484498783606761,0.8145268847624025,17.5
3,8.535533905932738e-05,0.3012210282088156,0.52172845800994,0.9406223307190558,0.8614169421745367,0.8270518117699687,17.8
4,7.500000000000001e-05,0.22281352815813876,0.4465955522362148,0.9685175298959465,0.8816745680244527,0.853179246049267,17.9
5,6.294095225512605e-05,0.14787264982278595,0.5406064386162207,0.9873131503339028,0.8859436404466345,0.8589294389452523,18.0
6,5.000000000000001e-05,0.10278258247141549,0.502133872727857,0.9943316605839416,0.8873432724097062,0.854277335971122,18.4
7,3.705904774487398e-05,0.07578608444739567,0.508031890853224,0.9968388433763007,0.8908871873245587,0.8607517419573735,18.0
8,2.5000000000000018e-05,0.06356045072826977,0.529890094164847,0.9977609586115858,0.892423273657289,0.8634635274536372,18.3
9,1.4644660940672632e-05,0.04756981078742711,0.49639638947512077,0.9990509492933685,0.8981387623978541,0.8771065223979703,17.9
10,6.698729810778067e-06,0.03462207223377505,0.5040069946161729,0.9996602733343687,0.9005286632150209,0.8816350659499586,18.0
11,1.7037086855465907e-06,0.036381342968720067,0.5116675973601732,0.9995530167727907,0.9003844114528102,0.8797581567060475,18.1
12,0.0,0.03154077274088405,0.5133897127461865,0.9995073963348347,0.9009419250202733,0.8822579295096983,17.8
