epoch,lr,train_loss,val_loss,train_auroc,val_auroc,val_auprc,segundos
1,9.938441702975689e-05,0.5317030787136129,0.47973714725364397,0.7848348443081224,0.8356699519680618,0.7882877553807968,20.9
2,9.755282581475769e-05,0.36561655120959113,0.4606426553865467,0.9102269859450225,0.8608204416443141,0.8288495400089201,18.9
3,9.45503262094184e-05,0.25914026701417164,0.45980418267269957,0.9565470181705233,0.8739785415756971,0.8387131523404638,18.4
4,9.045084971874738e-05,0.17941049132275763,0.4634230154280205,0.9803373485789719,0.8881814921090386,0.8600804718775911,18.5
5,8.535533905932738e-05,0.13143833716793366,0.5519513164508326,0.9891644179996895,0.881066371405402,0.8455501730994381,18.5
6,7.938926261462366e-05,0.09998793034148698,0.5027745682772078,0.99438043562665,0.891050932568149,0.8519875702752298,18.8
7,7.269952498697734e-05,0.07822235393167455,0.5898480135144378,0.9964804317440595,0.8681304971617492,0.8195322709259382,18.9
8,6.545084971874738e-05,0.06642377659906591,0.5390806571996262,0.997428511803075,0.8943609257064438,0.8631162726726946,18.6
9,5.782172325201156e-05,0.05729481898942961,0.5619369048899835,0.9978687004969715,0.8941464974112657,0.8619833271482409,18.5
10,5.000000000000001e-05,0.033543899439524134,0.5808487576801687,0.9994540107159496,0.8967820160938182,0.8572747263000945,18.7
11,4.217827674798848e-05,0.03148394505504361,0.6224416607112646,0.9992489614070509,0.8884427047595284,0.859098260560081,18.8
12,3.454915028125264e-05,0.029085400509767923,0.6056392451486601,0.9993161787544651,0.8975734514378392,0.8661555932492276,18.6
13,2.730047501302267e-05,0.01876833281047492,0.6048295128992105,0.9998616827147072,0.8966416630278835,0.8558291443368917,18.5
14,2.0610737385376356e-05,0.018333488346188326,0.6365669862948804,0.999902935238391,0.8924973488865323,0.8551394270331147,18.6
15,1.464466094067263e-05,0.018824468430639785,0.6075668920230467,0.9995908720298183,0.8973005426985217,0.8594630702125702,18.5
16,9.549150281252635e-06,0.011973047072279138,0.620339623744365,0.9999728218667495,0.8977917784292933,0.8587045460790486,18.4
17,5.4496737905816115e-06,0.010992938348350731,0.6216956474850672,0.9999917494952633,0.8986455929137297,0.8619829071533153,18.6
18,2.4471741852423237e-06,0.009811719772571188,0.6228078837520722,0.999978645752446,0.8987508577131806,0.8591756924441976,18.4
19,6.155829702431171e-07,0.01031702662323632,0.6084564297520899,0.9999752484857898,0.900294741438463,0.8627325536052161,18.4
20,0.0,0.008323002474903593,0.6183431596185633,0.9999980587047679,0.8995266982720979,0.8610354089947159,18.6
