atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
fitzpatrick,3,273,0.3626,0.4604,0.4646,0.4713,0.5354,0.5287
fitzpatrick,4,149,0.3758,0.4873,0.4821,0.5054,0.5179,0.4946
fitzpatrick,5,74,0.4189,0.5739,0.5806,0.6279,0.4194,0.3721
fitzpatrick,2,277,0.2274,0.5488,0.5873,0.5,0.4127,0.5
fitzpatrick,UNKNOWN,141,0.8085,0.6373,0.6579,0.5926,0.3421,0.4074
fitzpatrick,1,75,0.0933,0.5882,0.7143,0.5147,0.2857,0.4853
view,AT_DISTANCE,186,0.371,0.5585,0.5362,0.5726,0.4638,0.4274
view,AT_AN_ANGLE,207,0.3237,0.5205,0.5672,0.4929,0.4328,0.5071
view,CLOSE_UP,613,0.3964,0.5466,0.5802,0.4865,0.4198,0.5135
